point_of_interest,floor,video,video_time
Gate_E32,L3,PEK_T3E_F3_E32_Security_Checkpoint2,0:00
Gate_E31,L3,PEK_T3E_F3_E32_Security_Checkpoint2,1:07
Gate_E30,L3,PEK_T3E_F3_E32_Security_Checkpoint2,2:13
Gate_E29,L3,PEK_T3E_F3_E32_Security_Checkpoint2,3:44
Security_Checkpoint2,L3,PEK_T3E_F3_E32_Security_Checkpoint2,4:51
Security_Checkpoint2,L3,PEK_T3E_Security_Checkpoint_2_F3_Escalator_2_F2,0:00
Escalator_2,L3,PEK_T3E_Security_Checkpoint_2_F3_Escalator_2_F2,0:18
Escalator_2,L2,PEK_T3E_Security_Checkpoint_2_F3_Escalator_2_F2,0:42
Escalator_2,L2,PEK_T3E_F2_Escalator_2_E24,0:00
Gate_E20,L2,PEK_T3E_F2_Escalator_2_E24,0:25
Gate_E27,L2,PEK_T3E_F2_Escalator_2_E24,0:48
Gate_E21,L2,PEK_T3E_F2_Escalator_2_E24,1:08
Gate_E22,L2,PEK_T3E_F2_Escalator_2_E24,1:50
Gate_E26,L2,PEK_T3E_F2_Escalator_2_E24,2:00
Gate_E23,L2,PEK_T3E_F2_Escalator_2_E24,2:30
Gate_E25,L2,PEK_T3E_F2_Escalator_2_E24,2:49
Gate_E24,L2,PEK_T3E_F2_Escalator_2_E24,3:20
